,Show,Gross,Average ticket price,Seats sold,Previews,Regular shows,Total performances
0,'NIGHT MOTHER,2011480,52,38478,26,65,91
1,110 IN THE SHADE,5169314,51,102030,27,94,121
2,13,4436369,59,72907,22,105,127
3,1776,13667789,40,355683,34,333,367
4,1984,6859821,61,112232,38,125,163
5,33 VARIATIONS,4380302,63,70012,31,85,116
6,42ND STREET,133018977,59,2228839,31,1524,1555
7,42ND STREET - ORIGINAL,61642043,0,2116510,0,1920,1920
8,45 SECONDS FROM BROADWAY,3839871,40,95966,31,73,104
9,700 SUNDAYS,32029177,110,287428,28,209,237
10,9 TO 5,15231411,70,218823,23,148,171
11,A BEHANDING IN SPOKANE,7304015,72,102171,20,108,128
12,A BRONX TALE,4888172,66,74433,18,111,129
13,A BRONX TALE THE MUSICAL,68722973,100,682876,28,700,728
14,A CATERED AFFAIR,6453273,67,95542,25,116,141
15,A CHANGE IN THE HEIR,85757,0,8045,16,23,39
16,A CHORUS LINE,54540021,79,681614,18,759,777
17,A Chorus Line - Original,63997588,0,2170823,0,2456,2456
18,A CHRISTMAS CAROL,8605616,62,118494,16,105,121
19,A CHRISTMAS STORY,8633547,94,89233,15,51,66
20,A CLASS ACT,2558362,38,68094,30,105,135
21,A DAY IN THE DEATH OF JOE EGG,2874477,45,63350,24,69,93
22,A DELICATE BALANCE,18418588,69,289168,63,293,356
23,A DOLL'S HOUSE,6495976,45,143989,8,150,158
24,"A DOLL'S HOUSE, PART 2",8304641,62,127990,30,172,202
25,A FEW GOOD MEN,7729208,0,327659,15,497,512
26,A FREE MAN OF COLOR,2827517,50,57542,29,61,90
27,A FUNNY THING HAPPENED ON THE WAY TO THE FORUM,48856284,52,924216,35,715,750
28,A GENTLEMAN'S GUIDE TO LOVE AND MURDER,73749132,97,749169,30,905,935
29,A GRAND NIGHT FOR SINGING,1079709,0,39389,41,52,93
30,A LIFE IN THE THEATRE,2583745,58,45770,24,56,80
31,A LITTLE HOTEL ON THE SIDE,1178462,0,48809,15,41,56
32,A LITTLE LIKE MAGIC,265000,0,21000,11,49,60
33,A LITTLE MORE MAGIC,160000,0,7896,3,19,22
34,A LITTLE NIGHT MUSIC,38606667,104,368614,20,425,445
35,A MAN FOR ALL SEASONS,3612196,56,64431,29,73,102
36,A MIDSUMMER NIGHT'S DREAM,2731254,41,67830,13,65,78
37,A MOM'S LIFE,11623,26,444,0,3,3
38,A MONTH IN THE COUNTRY,1407371,0,38369,24,55,79
39,A MONTH OF SUNDAYS,132421,0,7862,19,4,23
40,A MOON FOR THE MISBEGOTTEN,5912588,76,78866,13,71,84
41,A MOON FOR THE MISBEGOTTEN 2000,5354179,52,102568,15,120,135
42,A NAKED GIRL ON THE APPIAN WAY,3082541,53,57992,27,69,96
43,A NIGHT WITH JANIS JOPLIN,7234546,80,90089,22,140,162
44,A RAISIN IN THE SUN,24194589,103,233479,59,173,232
45,A SMALL FAMILY BUSINESS,1026887,0,46842,30,48,78
46,A SOLDIER'S PLAY,4106326,74,55174,26,55,81
47,A STEADY RAIN,15168742,139,109175,21,80,101
48,A STREETCAR NAMED DESIRE,10139512,58,175558,56,178,234
49,A STREETCAR NAMED DESIRE - 1988,761585,0,47247,21,84,105
50,A STREETCAR NAMED DESIRE - 1992,5947347,0,146568,31,137,168
51,A STREETCAR NAMED DESIRE - 88,761585,0,47247,21,84,105
52,A STREETCAR NAMED DESIRE - 92,5947347,0,146568,31,137,168
53,A TALE OF TWO CITIES,4655502,60,77436,33,60,93
54,A THOUSAND CLOWNS,2658624,46,56664,7,83,90
55,A THOUSAND CLOWNS 1996,1019814,29,34601,38,32,70
56,A TIME TO KILL,1720560,56,32130,23,33,56
57,A TOUCH OF THE POET,3609646,52,69042,32,58,90
58,A TUNA CHRISTMAS,465078,0,13489,8,20,28
59,A VIEW FROM THE BRIDGE,19363208,82,232328,54,196,250
60,A VIEW FROM THE BRIDGE 1997-1998,6475447,35,188903,35,239,274
61,A WALK IN THE WOODS,1562493,0,72519,21,137,158
62,A YEAR WITH FROG AND TOAD,1736421,43,40267,15,73,88
63,ABE LINCOLN IN ILLINOIS,1334845,0,56646,27,40,67
64,ABSURD PERSON SINGULAR,1816196,49,37235,29,56,85
65,ACCENT ON YOUTH,2028775,49,41751,24,71,95
66,ACCIDENTAL DEATH ANAR.,312887,0,22763,15,20,35
67,ACCOMPLICE,935345,0,66323,23,52,75
68,ACT ONE,4761068,65,72546,31,67,98
69,AFTER MIDNIGHT,21234352,87,244603,18,273,291
70,AFTER MISS JULIE,2534646,46,54538,40,53,93
71,AFTER THE FALL,2998486,52,57353,40,53,93
72,AFTER THE NIGHT AND THE MUSIC,1558313,47,33008,39,38,77
73,AH WILDERNESS,1721052,26,66008,30,54,84
74,AH WILDERNESS! - LONG DAY'S JOURNEY INTO NIGHT,803598,0,31422,8,40,48
75,AIDA,165928398,61,2714193,30,1852,1882
76,AIN'T BROADWAY GRAND,865780,0,30807,27,25,52
77,AIN'T MISBEHAVIN',5332871,0,159433,8,176,184
78,AIN'T TOO PROUD,84225732,124,663794,21,485,506
79,AIRLINE HIGHWAY,1521105,42,36708,25,53,78
80,ALL ABOUT ME,1354494,52,26494,27,20,47
81,ALL MY SONS,17251132,89,195889,51,181,232
82,ALL MY SONS 1987,207092,0,12376,5,31,36
83,ALL SHOOK UP,14447491,49,298652,33,213,246
84,ALL THE WAY,19492726,109,177511,27,129,156
85,ALLEGIANCE,8614614,76,113152,37,111,148
86,ALONE TOGETHER,1135019,0,55617,15,97,112
87,ALTON BROWN LIVE: EAT YOUR SCIENCE,580738,103,5651,0,8,8
88,AMADEUS,5242594,43,121632,10,173,183
89,AMAZING GRACE,5540127,60,92670,24,116,140
90,AMÉLIE,5307176,82,64833,27,56,83
91,AMERICAN IDIOT,39798052,77,510723,26,422,448
92,AMERICAN PSYCHO,5627480,78,72358,27,54,81
93,AMERICAN SON,9811233,117,84436,33,97,130
94,AMERICAN UTOPIA,40649176,138,295895,41,240,281
95,AMOUR,1338399,46,29103,31,17,48
96,AMY'S VIEW,5911176,50,117926,12,103,115
